; testowy komentarz
txt_welcome = siema
txt_player0 = player0
txt_player1 = player1
txt_player2 = player2
txt_player3 = player3
txt_player4 = player4
txt_player5 = player5
txt_player6 = player6
txt_player7 = player7
txt_player8 = player8
txt_player9 = player9
txt_player10 = player10
txt_player11 = player11
txt_player12 = player12
txt_player13 = player13
txt_player14 = player14
txt_player15 = player15
txt_player16 = player16
txt_player17 = player17
txt_player18 = player18
txt_player19 = player19
txt_player20 = player20
txt_player21 = player21
txt_player22 = player22
txt_player23 = player23
txt_player24 = player24
txt_player25 = player25
txt_player26 = player26
txt_player27 = player27
txt_player28 = player28
txt_player29 = player29
txt_player30 = player30
txt_player31 = player31
txt_player32 = player32
txt_player33 = player33
txt_player34 = player34
txt_player35 = player35
txt_player36 = player36
txt_player37 = player37
txt_player38 = player38
txt_player39 = player39
txt_player40 = player40
txt_player41 = player41
txt_player42 = player42
txt_player43 = player43
txt_player44 = player44
txt_player45 = player45
txt_player46 = player46
txt_player47 = player47
txt_player48 = player48
txt_player49 = player49
txt_player50 = player50
txt_player51 = player51
txt_player52 = player52
txt_player53 = player53
txt_player54 = player54
txt_player55 = player55
txt_player56 = player56
txt_player57 = player57
txt_player58 = player58
txt_player59 = player59
txt_player60 = player60
txt_player61 = player61
txt_player62 = player62
txt_player63 = player63
txt_player64 = player64
txt_player65 = player65
txt_player66 = player66
txt_player67 = player67
txt_player68 = player68
txt_player69 = player69
txt_player70 = player70
txt_player71 = player71
txt_player72 = player72
txt_player73 = player73
txt_player74 = player74
txt_player75 = player75
txt_player76 = player76
txt_player77 = player77
txt_player78 = player78
txt_player79 = player79
txt_player80 = player80
txt_player81 = player81
txt_player82 = player82
txt_player83 = player83
txt_player84 = player84
txt_player85 = player85
txt_player86 = player86
txt_player87 = player87
txt_player88 = player88
txt_player89 = player89
txt_player90 = player90
txt_player91 = player91
txt_player92 = player92
txt_player93 = player93
txt_player94 = player94
txt_player95 = player95
txt_player96 = player96
txt_player97 = player97
txt_player98 = player98
txt_player99 = player99
txt_player100 = player100
txt_player101 = player101
txt_player102 = player102
txt_player103 = player103
txt_player104 = player104
txt_player105 = player105
txt_player106 = player106
txt_player107 = player107
txt_player108 = player108
txt_player109 = player109
txt_player110 = player110
txt_player111 = player111
txt_player112 = player112
txt_player113 = player113
txt_player114 = player114
txt_player115 = player115
txt_player116 = player116
txt_player117 = player117
txt_player118 = player118
txt_player119 = player119
txt_player120 = player120
txt_player121 = player121
txt_player122 = player122
txt_player123 = player123
txt_player124 = player124
txt_player125 = player125
txt_player126 = player126
txt_player127 = player127
txt_player128 = player128
txt_player129 = player129
txt_player130 = player130
txt_player131 = player131
txt_player132 = player132
txt_player133 = player133
txt_player134 = player134
txt_player135 = player135
txt_player136 = player136
txt_player137 = player137
txt_player138 = player138
txt_player139 = player139
txt_player140 = player140
txt_player141 = player141
txt_player142 = player142
txt_player143 = player143
txt_player144 = player144
txt_player145 = player145
txt_player146 = player146
txt_player147 = player147
txt_player148 = player148
txt_player149 = player149
txt_player150 = player150
txt_player151 = player151
txt_player152 = player152
txt_player153 = player153
txt_player154 = player154
txt_player155 = player155
txt_player156 = player156
txt_player157 = player157
txt_player158 = player158
txt_player159 = player159
txt_player160 = player160
txt_player161 = player161
txt_player162 = player162
txt_player163 = player163
